time,x,y,z
4410,0.013913393,-1.12861395E-4,0.05779457
4430,0.004264295,-0.008472033,0.0542078
4447,-0.0078032613,0.002291657,0.05062294
4467,-0.019777775,0.010591321,0.0566082
4486,-0.0030698776,0.002212666,0.055413246
4506,0.0077360272,-0.005002156,0.049425125
4525,0.012373507,-0.0026436746,0.049434662
4543,0.011144161,0.0020314977,0.056617737
4563,0.011170208,-0.0036412403,0.07337475
4583,0.001750946,-0.0072801337,0.0613966
4601,-0.007696867,0.0023576766,0.026675224
4620,-0.021670222,0.0023582429,0.04700184
4639,-0.003647089,-0.0024166107,0.070939064
4658,0.00943464,-0.013029262,0.051792145
4677,0.010712624,-0.0034895167,0.046998978
4695,0.011988521,0.0024387017,0.05896473
4715,0.0035395026,0.01084815,0.05537796
4735,0.007165134,-0.005940467,0.05178356
4753,-7.605553E-5,-0.005910024,0.051787376
4772,-0.004852712,0.0013926849,0.054182053
4791,0.0047067404,-0.0093475655,0.04700184
4809,0.008328199,-0.010565035,0.04819584
4829,0.004833579,9.7833574E-5,0.048189163
4848,0.0036809444,0.0070891753,0.05656433
4867,0.0023627877,0.004578553,0.06255627
4886,0.0023543239,-1.4540553E-4,0.05776882
4905,0.005927682,-0.010871135,0.05417919
4924,0.0059685707,-0.0061022267,0.061359406
4944,-0.0035984516,0.004718244,0.067344666
4962,-9.357929E-6,0.0059127063,0.051781654
4981,0.0024241805,0.0048197657,0.05058384
5001,0.004689753,0.0060707256,0.05418396
5020,0.0021730065,2.1158904E-4,0.055389404
5038,-0.0014778376,0.001591824,0.04821205
5058,0.0020438433,-0.012720488,0.048214912
5077,0.0080013275,-0.004433334,0.05540085
5096,0.011667073,-0.0020238683,0.05419922
5114,-3.6549568E-4,0.001693137,0.051808357
5135,-0.0014509559,0.011198014,0.050603867
5153,-0.007306576,0.011129886,0.058976173
5172,-0.0109295845,0.0015053377,0.058977127
5191,0.002169311,-0.004561022,0.051797867
5210,0.0032969117,-0.0022547916,0.06616497
5229,0.002146244,2.7241558E-4,0.058981895
5248,0.009238303,3.452599E-4,0.043426514
5268,0.003123939,0.0016009212,0.05779934
5286,-0.0039357543,0.0053178445,0.06736946
5305,-0.0050115585,-0.0067417026,0.051799774
5324,-0.008471131,-0.0032991543,0.050593376
5344,-0.0048708916,0.0074698105,0.062563896
5363,0.012928665,4.4894964E-4,0.054193497
5382,0.020050228,-0.001969561,0.050605774
5401,0.009410262,-0.005532369,0.06735706
5420,-0.0014209747,0.005153954,0.056588173
5438,-0.0071819425,-0.0019025728,0.04220867
5457,-0.0070543885,-0.0019410178,0.055369377
5478,-0.0023230314,-0.009138063,0.05058384
5496,0.0013728738,0.002787687,0.054169655
5515,0.0073310137,0.006427504,0.054171562
5534,0.009862363,3.972575E-4,0.05535984
5553,0.0017003417,-0.0020883158,0.052951813
5572,0.004353881,-9.92842E-4,0.05772209
5591,-0.0028259158,-0.00466834,0.056526184
5611,-0.009987652,-0.0011212602,0.050538063
5630,0.004359305,-0.0024160817,0.05532646
5648,0.011717141,-0.0011458546,0.058908463
5668,0.016398132,-0.0022275895,0.061307907
5687,0.009240985,0.0036678165,0.055322647
5706,-3.977418E-4,0.0024735108,0.055325508
5725,-0.006313801,-0.004675679,0.054124832
5743,-0.0038585067,6.856769E-5,0.052924156
5763,-0.00510329,-0.007077493,0.058912277
5782,-2.7006865E-4,1.8490106E-4,0.050530434
5801,0.0020560622,0.0025314465,0.05651951
5819,0.012960434,0.002750188,0.06249714
5838,0.00939393,-0.00569281,0.054118156
5857,0.005895436,-0.0020225644,0.058900833
5878,-0.0024814606,3.2639503E-4,0.060097694
5896,0.0011569858,-9.1189146E-4,0.05291176
5915,-0.004934132,0.0073993504,0.0600996
5933,0.0037083626,0.0051745325,0.06607056
5952,0.01204747,0.0051732287,0.05051136
5973,0.009563565,-0.00425715,0.04812336
5991,0.0012318492,-0.005720742,0.06008911
6011,-8.4638596E-5,-0.0081289485,0.05051899
6030,-0.00946939,0.005051613,0.048113823
6049,0.0037403107,0.0049971044,0.06247616
6067,0.010828495,0.0026657134,0.0493145
6087,0.016932428,0.0074851587,0.057686806
6105,0.016994774,-0.0042967126,0.055288315
6125,2.7936697E-4,-0.004446,0.048104286
6144,-0.0010351539,-0.007941306,0.050505638
6163,-0.004570663,-0.005642712,0.057683945
6182,-0.0010944605,0.0014947429,0.064873695
6200,-0.0022415519,0.01350113,0.0517025
6220,0.003784299,0.008591488,0.049305916
6238,0.009794891,0.0013079941,0.062470436
6258,0.00970608,-0.015384205,0.05409813
6278,0.006204903,-0.004638076,0.048107147
6296,0.0027152896,-0.0071062893,0.057676315
6315,0.0015685558,-0.0021498948,0.078022
6335,0.0013836622,0.0061404184,0.025363922
6354,0.0037602186,0.006047696,0.04691124
6372,0.0024424195,0.0071798936,0.09120846
6391,0.0047602654,-2.4966896E-5,0.05530262
