time,x,y,z,absolute
1.340877750E0,-1.625335478E0,4.938124367E-3,-1.185259849E-1,1.629658925E0
1.350833750E0,-2.263622655E0,3.356566736E-1,-8.953022718E-2,2.290124143E0
1.360788750E0,3.427770840E-1,5.713414182E-1,-5.933169723E-2,6.689150886E-1
1.370743750E0,1.719258572E0,5.568061172E-1,-9.949037433E-3,1.807202832E0
1.380699750E0,-6.641825216E-1,1.515435946E-1,-9.903721511E-2,6.884128507E-1
1.390654750E0,4.398044283E-1,7.535225955E-2,-1.197053683E-1,4.619905555E-1
1.400609750E0,4.649734757E-1,2.289303517E-1,4.224204004E-2,5.199940663E-1
1.410564750E0,8.046197777E-1,4.676819426E-1,-2.643643141E-2,9.310414980E-1
1.420520750E0,1.058042051E0,2.501008355E-1,1.349648470E-1,1.095545033E0
1.430475750E0,5.112389849E-1,-9.363822509E-2,-1.093183744E-1,5.311157349E-1
1.440429958E0,4.338417667E-1,-5.214245422E-1,-4.660289347E-2,6.799073918E-1
1.450385958E0,-1.447586043E-1,-6.153844372E-1,7.988816857E-2,6.372088971E-1
1.460340958E0,-1.801856341E0,-4.291499243E-1,-1.536355913E-1,1.858617719E0
1.470295958E0,-1.834527512E0,-3.541000343E-1,-1.442280060E-1,1.873947637E0
1.480251958E0,-2.946906642E0,-1.085010981E-1,-1.790885210E-2,2.948957777E0
1.490206958E0,-2.599457779E0,1.277826389E-1,-1.237463790E-1,2.605536857E0
1.500161958E0,-4.715203838E-1,4.287606825E-1,5.303775430E-2,6.395155968E-1
1.510116958E0,1.862405721E0,5.857843332E-1,-1.314056468E-1,1.956774335E0
1.520072958E0,9.788109633E-1,6.373560078E-1,-1.068929493E-1,1.172910775E0
1.530027958E0,-4.801922797E-1,6.645031683E-1,-1.301157510E-1,8.301079417E-1
1.539982958E0,-9.543845853E-1,6.808761761E-1,3.556335032E-2,1.172905391E0
1.549938958E0,-5.729850705E-1,6.710543887E-1,-1.458704889E-2,8.825183656E-1
1.559893958E0,-2.489205312E0,4.839263117E-1,-8.599500060E-3,2.535823675E0
1.569848958E0,-2.638306387E0,4.127212218E-1,-4.532761574E-3,2.670396964E0
1.579804958E0,-2.138472067E0,4.549345008E-1,-2.159902990E-2,2.186434244E0
1.589759958E0,-1.670872717E0,3.250488743E-1,-1.363991690E-1,1.707652523E0
1.599714958E0,-8.812148675E-1,3.851728327E-1,2.437236428E-2,9.620248261E-1
1.609669958E0,3.781337352E-1,3.274779173E-1,-7.456720233E-2,5.057540664E-1
1.619625958E0,-1.326093692E0,-1.526705083E-1,-6.783062518E-2,1.336575385E0
1.629580958E0,-2.636642854E0,-3.713537790E-1,-1.245456934E-2,2.662694929E0
1.639535958E0,-2.012644226E0,-1.736077248E-1,-9.554233432E-2,2.022376018E0
1.649491958E0,-2.036461543E0,-1.477594228E-1,-3.643107712E-2,2.042139977E0
1.659446958E0,-1.596419535E0,2.744781699E-2,-3.225265682E-2,1.596981199E0
1.669401958E0,-2.116906951E0,2.467398011E-2,-1.615983295E-1,2.123209332E0
1.679357958E0,-2.369644808E0,-4.817701874E-2,-4.216076374E-2,2.370509454E0
1.689312958E0,-1.738667674E0,-1.440277297E-1,2.589731812E-3,1.744624881E0
1.699267958E0,-2.040030976E0,-2.891681298E-1,4.864883423E-4,2.060423458E0
1.709222958E0,-9.909487597E-1,-2.843714395E-1,-1.433620334E-2,1.031044173E0
1.719178958E0,-7.920038252E-1,-3.221547583E-1,-1.156795603E-1,8.628067618E-1
1.729133958E0,-1.457722849E0,-3.377477841E-1,2.143472314E-2,1.496492204E0
1.739088958E0,-1.214725796E0,-4.231686247E-1,-4.158422828E-2,1.286996384E0
1.749044958E0,-7.714965436E-1,-5.184504656E-1,-2.436710179E-2,9.298341560E-1
1.758999958E0,-1.013770077E0,-3.920428360E-1,-7.226339936E-2,1.089334362E0
1.768954958E0,-2.027519542E0,-6.365159091E-1,-5.818915129E-2,2.125881929E0
1.778910958E0,-1.420898985E0,-5.448423485E-1,-6.342591763E-2,1.523098801E0
1.788865958E0,-1.454005920E0,-4.088942922E-1,-4.126964808E-2,1.510970199E0
1.798820958E0,-1.755001140E0,-3.809076909E-1,-6.072684288E-2,1.796888260E0
1.808775958E0,-1.724399444E0,-3.631632186E-1,-8.168150961E-2,1.764118147E0
1.818731958E0,-1.491470931E0,-2.829698437E-1,-5.922703207E-2,1.519231817E0
1.828686958E0,-1.800772706E0,-2.795801214E-1,-7.404621542E-2,1.823850384E0
