time,x,y,z,absolute
5.559068833E0,-3.463715136E-2,-3.639205427E-1,-1.158596545E-1,3.834857927E-1
5.569025833E0,-6.393758554E-2,-3.668653467E-1,-9.899569988E-2,3.853288803E-1
5.578983833E0,-6.636132952E-2,-3.603956218E-1,-5.284421146E-2,3.702449742E-1
5.588940833E0,-1.456175968E-3,-3.285043960E-1,5.391308248E-2,3.329022065E-1
5.598898833E0,1.257937450E-1,-3.578706479E-1,1.339866078E-1,4.023032165E-1
5.608855833E0,1.639273852E-1,-3.436789439E-1,2.058956659E-1,4.328746115E-1
5.618813833E0,5.694921266E-2,-2.339036827E-1,2.158903116E-1,3.233616740E-1
5.628770833E0,-2.877100535E-2,-1.695320510E-1,2.164001888E-1,2.764017525E-1
5.638728833E0,-6.936698109E-3,-1.861518113E-1,2.161703932E-1,2.853598667E-1
5.648685833E0,-2.109021250E-2,-2.140621065E-1,2.287196875E-1,3.139746454E-1
5.658643833E0,6.566898264E-3,-2.205417717E-1,1.254923576E-1,2.538309063E-1
5.668600833E0,8.861437049E-2,-2.504243327E-1,5.494687021E-2,2.712637307E-1
5.678558833E0,1.117030882E-1,-2.585307663E-1,1.261332124E-1,3.085860080E-1
5.688515833E0,1.059950363E-1,-2.510894535E-1,1.518024892E-1,3.119693207E-1
5.698473833E0,1.406085795E-1,-2.405230962E-1,1.013825333E-1,2.964802700E-1
5.708430833E0,1.724881840E-1,-2.553593096E-1,2.883612871E-2,3.095029450E-1
5.718388833E0,2.025395103E-1,-2.920174780E-1,-8.603008389E-3,3.554862479E-1
5.728345833E0,2.034650514E-1,-2.845939992E-1,-4.630994797E-2,3.528971278E-1
5.738303833E0,1.663239761E-1,-2.523211695E-1,-1.592401475E-1,3.415948802E-1
5.748260833E0,5.136457354E-2,-2.402150211E-1,-2.408444738E-1,3.440169129E-1
5.758218833E0,2.679932423E-2,-2.754517313E-1,-2.435879874E-1,3.686827466E-1
5.768175833E0,1.902121179E-2,-2.742306134E-1,-1.994818550E-1,3.396428217E-1
5.778133833E0,-4.680056591E-2,-2.325573613E-1,-1.214343899E-1,2.664948974E-1
5.788090833E0,-5.493181363E-2,-1.929168937E-1,-4.632865906E-2,2.058659191E-1
5.798048833E0,-8.729308248E-3,-1.952256668E-1,8.940392733E-4,1.954227753E-1
5.808005833E0,-1.647895206E-2,-1.802556983E-1,3.539027274E-2,1.844346606E-1
5.817963833E0,-3.241170108E-2,-1.451199988E-1,3.754438698E-2,1.533620338E-1
5.827920833E0,-9.001751952E-3,-1.495290186E-1,3.576215565E-2,1.540093852E-1
5.837878833E0,-3.512689222E-2,-1.488632400E-1,-2.539679646E-2,1.550456709E-1
5.847835833E0,-9.411875658E-2,-9.981767222E-2,-7.454147458E-2,1.561356444E-1
5.857793833E0,-1.476189891E-1,-9.095438965E-2,-8.945772171E-2,1.951070242E-1
5.867750833E0,-1.256068534E-1,-1.244769155E-1,-1.009305435E-1,2.036137489E-1
5.877708833E0,-6.603849012E-2,-1.514990187E-1,-3.977276087E-2,1.699850209E-1
5.887666583E0,-1.867798023E-2,-1.576889542E-1,7.861581445E-3,1.589857783E-1
5.897624583E0,-1.592514765E-2,-1.296574755E-1,8.287843466E-3,1.308944599E-1
5.907581583E0,-1.543664932E-2,-1.177331024E-1,5.363650918E-2,1.302929341E-1
5.917539583E0,-5.767364614E-3,-9.039108351E-2,1.105515522E-1,1.429176552E-1
5.927496583E0,-7.149975300E-2,-6.306273244E-2,8.865899205E-2,1.301903982E-1
5.937454583E0,-4.641377259E-2,-6.602061957E-2,3.477046788E-2,8.787460345E-2
5.947411583E0,2.168571487E-2,-9.877167843E-2,3.356769562E-2,1.065500112E-1
5.957369583E0,5.926248081E-2,-1.024962817E-1,1.440520048E-2,1.192687687E-1
5.967326583E0,2.643957429E-2,-9.598138712E-2,-7.083784819E-2,1.221862451E-1
5.977284583E0,3.926514946E-2,-1.075094651E-1,-1.570877874E-1,1.943620591E-1
5.987241583E0,2.504150502E-2,-1.025157968E-1,-1.802608877E-1,2.088792790E-1
5.997199583E0,1.746577933E-2,-6.386409335E-2,-1.397326666E-1,1.546250109E-1
6.007156583E0,1.439705092E-2,-3.894866891E-2,-1.376709384E-1,1.437969442E-1
6.017114583E0,1.554058358E-2,-4.678225681E-2,-1.463131231E-1,1.543943629E-1
6.027071583E0,3.562354010E-2,-4.134354226E-2,-1.397543013E-1,1.500319627E-1
6.037029583E0,4.933083884E-2,-4.687318102E-2,-1.158462059E-1,1.343538991E-1
6.046986583E0,4.397954017E-2,-7.806098677E-2,-4.326004028E-2,9.949446565E-2
6.056944583E0,3.619689614E-2,-8.114882827E-2,1.570971429E-2,9.023382261E-2
6.066901583E0,9.782537967E-3,-6.120456040E-2,2.413379788E-2,6.651418242E-2
