time,x,y,z,norm
2.902063333E0,-3.050003798E-1,-9.080740526E-1,2.592269504E-1,9.923821484E-1
2.912019333E0,-5.219504627E-1,-7.852408625E-1,-4.229355401E-1,1.033397295E0
2.921974333E0,-7.828223079E-1,-7.046561444E-1,-8.607130677E-1,1.360212495E0
2.931930333E0,-1.018104983E0,-6.808915982E-1,-1.009134697E0,1.586979509E0
2.941885333E0,-1.120653817E0,-6.818720300E-1,-9.546994579E-1,1.622425807E0
2.951841333E0,-1.168687378E0,-7.533830389E-1,-7.844221061E-1,1.596475565E0
2.961796333E0,-1.206897032E0,-8.443054882E-1,-4.279360789E-1,1.533812730E0
2.971752333E0,-1.149172296E0,-9.124986407E-1,-2.242126536E-1,1.484426505E0
2.981707333E0,-1.021768922E0,-1.041187086E0,-1.932054538E-1,1.471533427E0
2.991663333E0,-8.883617000E-1,-1.218985419E0,-2.102652901E-1,1.522932518E0
3.001618333E0,-7.215339862E-1,-1.282468493E0,-3.338953096E-1,1.508914447E0
3.011574333E0,-5.410381135E-1,-1.229020118E0,-4.787746954E-1,1.425635964E0
3.021529333E0,-3.403500144E-1,-1.139467964E0,-5.658444142E-1,1.316968213E0
3.031485958E0,-1.128461458E-1,-1.016742363E0,-6.115263712E-1,1.191832114E0
3.041441958E0,1.393530727E-1,-9.000971349E-1,-5.648117959E-1,1.071730608E0
3.051396958E0,2.838437283E-1,-8.278486459E-1,-3.729184574E-1,9.512984907E-1
3.061352958E0,3.536474599E-1,-8.187575412E-1,-1.774045229E-1,9.093419609E-1
